"corpus","preloaded/srwac12_rft1"
"subcorpus","-"
Item,Frequency,Relative frequency
"i",15038538,29113.96186
"da",12437245,24077.97065
"a",2974218,5757.95795
"kao",1904405,3686.84606
"ali",1511226,2925.66845
"ili",1345809,2605.42826
"kako",1033147,2000.12809
"pa",838872,1624.02006
"jer",825493,1598.11889
"ako",783831,1517.46306
"što",700685,1356.49598
"dok",438315,848.55896
"nego",431961,836.25789
"kada",332184,643.09392
"kad",279166,540.45335
"te",209490,405.56362
"iako",200029,387.24753
"ukoliko",177353,343.34777
"zato",159866,309.49369
"tako",151576,293.44461
"pošto",136718,264.68016
"dakle",115663,223.91859
"ni",102790,198.99701
"gde",89873,173.99026
"no",84405,163.40444
"tko",76992,149.05320
"mada",75263,145.70593
"niti",68724,133.04670
"nakon",55128,106.72543
"koliko",53023,102.65024
"pre",50838,98.42018
"li",49686,96.18996
"osim",42578,82.42917
"budući",30595,59.23060
"al",28383,54.94827
"već",27640,53.50985
"od",22448,43.45836
"čim",21761,42.12836
"bez",15563,30.12930
"zašto",14496,28.06363
"makar",7940,15.37150
"neki",5851,11.32728
"premda",5144,9.95856
"neka",3729,7.21918
"samo",2749,5.32195
"iliti",2653,5.13609
"kuda",2652,5.13416
"bilo",2404,4.65404
"u",2092,4.05002
"jedino",2079,4.02485
"nit",1954,3.78286
"onako",1668,3.22918
"stoga",1538,2.97750
"jerbo",1225,2.37155
"taj",1194,2.31153
"kamo",1064,2.05986
"negoli",953,1.84497
"kud",887,1.71719
"sve",707,1.36872
"klub",489,0.94668
"pak",409,0.79181
"umjesto",377,0.72986
"biti",322,0.62338
"doli",232,0.44914
"kamoli",207,0.40074
"stih",176,0.34073
"tek",99,0.19166
"kô",88,0.17036
"namesto",60,0.11616
"obzir",57,0.11035
